"filename", "language", "JavaScript", "XML", "JSON", "SCSS", "CSS", "comment", "blank", "total"
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\admin.js", "JavaScript", 12, 0, 0, 0, 0, 8, 5, 25
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\app.js", "JavaScript", 5, 0, 0, 0, 0, 9, 6, 20
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\bootstrap.js", "JavaScript", 6, 0, 0, 0, 0, 3, 3, 12
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\confettiparty.js", "JavaScript", 36, 0, 0, 0, 0, 0, 4, 40
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\controllers.json", "JSON", 0, 0, 14, 0, 0, 0, 1, 15
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\controllers\game_controller.js", "JavaScript", 69, 0, 0, 0, 0, 2, 7, 78
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\controllers\hello_controller.js", "JavaScript", 6, 0, 0, 0, 0, 9, 2, 17
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\diceanimation.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\bloc.svg", "XML", 0, 23, 0, 0, 0, 0, 1, 24
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\bloc_card.svg", "XML", 0, 23, 0, 0, 0, 0, 1, 24
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\bloc_point.svg", "XML", 0, 23, 0, 0, 0, 0, 1, 24
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\bloc_time.svg", "XML", 0, 17, 0, 0, 0, 0, 1, 18
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\bloc_turn.svg", "XML", 0, 17, 0, 0, 0, 0, 1, 18
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\clock.svg", "XML", 0, 3, 0, 0, 0, 0, 1, 4
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\cup.svg", "XML", 0, 7, 0, 0, 0, 0, 1, 8
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\dos_apocalypse.svg", "XML", 0, 9, 0, 0, 0, 0, 1, 10
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\loader.svg", "XML", 0, 60, 0, 0, 0, 0, 1, 61
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\save.svg", "XML", 0, 3, 0, 0, 0, 0, 1, 4
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\school.svg", "XML", 0, 3, 0, 0, 0, 0, 1, 4
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\assets\images\turn.svg", "XML", 0, 3, 0, 0, 0, 0, 1, 4
