"filename", "language", "HTML (Twig)", "comment", "blank", "total"
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\base.html.twig", "HTML (Twig)", 30, 1, 2, 33
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\classe\_delete_form.html.twig", "HTML (Twig)", 4, 0, 1, 5
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\classe\_form.html.twig", "HTML (Twig)", 5, 0, 1, 6
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\classe\edit.html.twig", "HTML (Twig)", 8, 0, 6, 14
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\classe\index.html.twig", "HTML (Twig)", 41, 0, 7, 48
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\classe\new.html.twig", "HTML (Twig)", 7, 0, 5, 12
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\classe\show.html.twig", "HTML (Twig)", 24, 0, 7, 31
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\home\index.html.twig", "HTML (Twig)", 5, 0, 3, 8
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\include\_navbar.html.twig", "HTML (Twig)", 69, 0, 1, 70
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\include\_search_form.html.twig", "HTML (Twig)", 8, 0, 3, 11
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\manage_users\_delete_form.html.twig", "HTML (Twig)", 4, 0, 1, 5
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\admin\manage_users\_form.html.twig", "HTML (Twig)", 11, 0, 1, 12
